2009 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_fcr	av_fcr
	all	2724.0	57.0	4.45	25.0	7.07	0.0	0.0	0.0	0.0
	italy	197.0	57.0	4.1	24.0	8.53	0.0	0.0	0.0	0.0
	fism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2010 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_fcr	av_fcr
	all	2982.0	55.0	4.55	24.0	6.37	0.0	0.0	0.0	0.0
	italy	223.0	50.0	4.57	26.0	4.76	0.0	0.0	0.0	0.0
	fism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2011 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_fcr	av_fcr
	all	3287.0	55.0	4.56	31.0	7.01	0.0	0.0	0.0	0.0
	italy	220.0	59.0	4.26	28.0	7.0	0.0	0.0	0.0	0.0
	fism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_fcr	av_fcr
	all	3538.0	57.0	4.47	45.0	7.9	0.0	0.0	0.0	0.0
	italy	228.0	62.0	4.07	55.0	5.99	0.0	0.0	0.0	0.0
	fism	43.0	79.0	4.67	65.0	5.93	0.0	0.0	0.0	0.0
2013 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_fcr	av_fcr
	all	4014.0	58.0	4.13	49.0	8.59	0.0	0.0	0.0	0.0
	italy	279.0	61.0	4.2	56.0	6.69	0.0	0.0	0.0	0.0
	fism	75.0	63.0	5.24	67.0	10.54	0.0	0.0	0.0	0.0
2014 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_fcr	av_fcr
	all	4250.0	58.0	4.16	56.0	10.41	0.0	0.0	0.0	0.0
	italy	412.0	61.0	4.07	60.0	9.55	0.0	0.0	0.0	0.0
	fism	69.0	70.0	5.19	62.0	13.02	0.0	0.0	0.0	0.0
2015 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_fcr	av_fcr
	all	4423.0	59.0	4.33	72.0	11.21	92.0	22.3	88.0	5.52
	italy	453.0	60.0	4.21	79.0	9.99	97.0	23.45	94.0	6.18
	fism	81.0	53.0	6.07	81.0	13.86	99.0	30.16	99.0	7.2
2016 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_fcr	av_fcr
	all	4541.0	60.0	4.29	69.0	12.96	83.0	17.08	80.0	5.17
	italy	477.0	62.0	4.36	71.0	15.44	85.0	20.58	84.0	6.25
	fism	93.0	65.0	4.5	72.0	13.24	84.0	22.21	83.0	6.25
2017 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_fcr	av_fcr
	all	4576.0	62.0	4.03	71.0	13.03	96.0	12.82	94.0	5.18
	italy	498.0	60.0	3.81	74.0	15.04	97.0	16.78	95.0	7.23
	fism	75.0	57.0	4.17	72.0	11.13	99.0	15.89	99.0	6.19
2018 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_fcr	av_fcr
	all	4684.0	62.0	4.13	72.0	13.23	97.0	7.7	94.0	4.63
	italy	493.0	64.0	4.36	75.0	13.57	99.0	12.01	96.0	7.4
	fism	66.0	59.0	6.4	80.0	26.49	100.0	14.08	97.0	7.92
2019 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_fcr	av_fcr
	all	5308.0	63.0	4.31	71.0	13.67	98.0	2.8	0.0	2.08
	italy	583.0	66.0	4.36	76.0	14.11	99.0	3.3	0.0	1.83
	fism	87.0	70.0	5.22	78.0	13.26	100.0	4.0	1.0	3.09
